month	year	value
1	1	0.05
1	2	-0.18
1	3	-0.19
1	4	-0.42
1	5	-0.23
1	6	-0.30
1	7	-0.16
1	8	-0.10
1	9	-0.34
1	10	-0.23
1	11	-0.24
1	12	-0.31
1	13	0.14
1	14	-0.14
1	15	-0.04
1	16	-0.40
1	17	-0.27
1	18	0.01
1	19	0.21
1	20	-0.25
1	21	-0.24
1	22	-0.20
1	23	-0.18
1	24	-0.10
1	25	0.07
1	26	-0.02
1	27	-0.08
1	28	0.10
1	29	0.29
1	30	-0.09
1	31	0.33
1	32	0.02
1	33	0.22
1	34	-0.20
1	35	0.09
1	36	0.14
1	37	-0.29
1	38	-0.27
1	39	0.15
1	40	0.12
1	41	-0.20
1	42	0.12
1	43	-0.17
1	44	-0.09
1	45	0.31
1	46	0.15
1	47	0.01
1	48	0.12
1	49	0.15
1	50	0.08
1	51	0.07
1	52	-0.04
1	53	-0.02
1	54	-0.07
1	55	-0.15
1	56	-0.11
1	57	0.14
1	58	0.04
1	59	-0.21
1	60	0.28
1	61	-0.19
1	62	0.13
1	63	-0.02
1	64	0.02
1	65	0.15
1	66	0.12
1	67	0.26
1	68	0.43
1	69	0.10
1	70	0.48
1	71	0.24
1	72	0.16
1	73	0.27
1	74	0.27
1	75	0.51
1	76	0.17
1	77	0.32
1	78	0.43
1	79	0.45
1	80	0.36
1	81	0.25
1	82	0.54
1	83	0.25
1	84	0.37
1	85	0.60
1	86	0.52
1	87	0.32
1	88	0.46
1	89	0.71
1	90	0.70
1	91	0.60
1	92	0.61
1	93	0.45
1	94	0.85
1	95	0.25
1	96	0.55
1	97	0.64
1	98	0.41
1	99	0.38
1	100	0.54
1	101	0.65
2	1	-0.17
2	2	-0.06
2	3	-0.23
2	4	-0.47
2	5	-0.29
2	6	-0.13
2	7	-0.25
2	8	-0.18
2	9	-0.30
2	10	-0.37
2	11	-0.17
2	12	-0.28
2	13	0.07
2	14	-0.17
2	15	-0.10
2	16	-0.48
2	17	-0.15
2	18	-0.21
2	19	-0.12
2	20	-0.28
2	21	0.04
2	22	0.24
2	23	-0.25
2	24	0.11
2	25	0.05
2	26	0.01
2	27	0.09
2	28	0.21
2	29	0.07
2	30	0.09
2	31	0.21
2	32	-0.11
2	33	0.10
2	34	-0.10
2	35	-0.10
2	36	-0.14
2	37	-0.25
2	38	-0.39
2	39	0.10
2	40	0.19
2	41	-0.08
2	42	-0.10
2	43	-0.24
2	44	-0.10
2	45	0.24
2	46	0.08
2	47	0.19
2	48	0.19
2	49	0.20
2	50	0.30
2	51	-0.08
2	52	-0.16
2	53	-0.01
2	54	-0.12
2	55	-0.08
2	56	-0.09
2	57	0.27
2	58	-0.17
2	59	-0.14
2	60	0.40
2	61	-0.22
2	62	0.04
2	63	-0.12
2	64	0.20
2	65	0.11
2	66	0.05
2	67	0.30
2	68	0.33
2	69	0.13
2	70	0.44
2	71	0.13
2	72	-0.00
2	73	0.23
2	74	0.45
2	75	0.34
2	76	0.28
2	77	0.37
2	78	0.44
2	79	0.43
2	80	0.39
2	81	0.05
2	82	0.68
2	83	0.44
2	84	0.43
2	85	0.86
2	86	0.70
2	87	0.53
2	88	0.40
2	89	0.79
2	90	0.57
2	91	0.72
2	92	0.50
2	93	0.59
2	94	0.64
2	95	0.35
2	96	0.52
2	97	0.68
2	98	0.44
2	99	0.38
2	100	0.60
2	101	0.43
3	1	-0.20
3	2	-0.16
3	3	-0.32
3	4	-0.46
3	5	-0.21
3	6	-0.28
3	7	-0.08
3	8	-0.23
3	9	-0.12
3	10	-0.27
3	11	-0.10
3	12	-0.17
3	13	0.09
3	14	-0.21
3	15	-0.22
3	16	-0.20
3	17	0.02
3	18	0.03
3	19	-0.12
3	20	-0.20
3	21	-0.23
3	22	-0.10
3	23	-0.16
3	24	-0.11
3	25	0.16
3	26	-0.10
3	27	0.13
3	28	0.09
3	29	0.16
3	30	0.00
3	31	0.27
3	32	0.02
3	33	-0.04
3	34	-0.01
3	35	-0.18
3	36	-0.08
3	37	-0.07
3	38	-0.16
3	39	-0.04
3	40	0.18
3	41	-0.10
3	42	-0.28
3	43	-0.16
3	44	-0.06
3	45	0.13
3	46	0.19
3	47	-0.20
3	48	0.17
3	49	0.14
3	50	0.00
3	51	-0.11
3	52	-0.07
3	53	0.04
3	54	0.05
3	55	0.21
3	56	0.14
3	57	0.05
3	58	-0.10
3	59	0.02
3	60	0.35
3	61	-0.03
3	62	0.13
3	63	-0.24
3	64	0.28
3	65	0.20
3	66	0.21
3	67	0.21
3	68	0.38
3	69	0.05
3	70	0.39
3	71	0.24
3	72	0.16
3	73	0.26
3	74	0.21
3	75	0.44
3	76	0.29
3	77	0.70
3	78	0.35
3	79	0.41
3	80	0.40
3	81	0.35
3	82	0.44
3	83	0.31
3	84	0.48
3	85	0.65
3	86	0.37
3	87	0.53
3	88	0.64
3	89	0.78
3	90	0.56
3	91	0.70
3	92	0.68
3	93	0.57
3	94	0.65
3	95	0.74
3	96	0.54
3	97	0.79
3	98	0.54
3	99	0.47
3	100	0.57
3	101	0.71
4	1	-0.29
4	2	-0.08
4	3	-0.23
4	4	-0.35
4	5	-0.31
4	6	-0.11
4	7	-0.21
4	8	-0.18
4	9	-0.17
4	10	-0.35
4	11	-0.24
4	12	-0.13
4	13	-0.11
4	14	-0.18
4	15	-0.20
4	16	-0.23
4	17	-0.16
4	18	-0.11
4	19	0.03
4	20	-0.17
4	21	-0.20
4	22	-0.19
4	23	-0.13
4	24	-0.05
4	25	0.15
4	26	-0.04
4	27	0.19
4	28	0.23
4	29	0.16
4	30	0.12
4	31	0.17
4	32	0.19
4	33	0.06
4	34	0.01
4	35	-0.06
4	36	-0.02
4	37	-0.16
4	38	-0.08
4	39	0.09
4	40	0.21
4	41	-0.15
4	42	-0.22
4	43	-0.25
4	44	-0.00
4	45	0.11
4	46	0.13
4	47	-0.08
4	48	0.14
4	49	0.11
4	50	0.01
4	51	-0.16
4	52	-0.16
4	53	-0.06
4	54	0.05
4	55	-0.03
4	56	0.19
4	57	0.15
4	58	-0.08
4	59	0.05
4	60	0.27
4	61	-0.03
4	62	0.09
4	63	-0.02
4	64	0.26
4	65	0.11
4	66	0.07
4	67	0.28
4	68	0.32
4	69	0.17
4	70	0.27
4	71	0.12
4	72	0.11
4	73	0.23
4	74	0.27
4	75	0.40
4	76	0.25
4	77	0.46
4	78	0.49
4	79	0.27
4	80	0.28
4	81	0.35
4	82	0.40
4	83	0.26
4	84	0.45
4	85	0.74
4	86	0.48
4	87	0.64
4	88	0.57
4	89	0.57
4	90	0.55
4	91	0.59
4	92	0.72
4	93	0.49
4	94	0.72
4	95	0.45
4	96	0.63
4	97	0.77
4	98	0.61
4	99	0.68
4	100	0.52
4	101	0.76
5	1	-0.21
5	2	-0.14
5	3	-0.26
5	4	-0.49
5	5	-0.28
5	6	-0.26
5	7	-0.19
5	8	-0.14
5	9	-0.27
5	10	-0.26
5	11	-0.21
5	12	-0.23
5	13	-0.13
5	14	-0.16
5	15	-0.14
5	16	-0.23
5	17	-0.16
5	18	-0.11
5	19	-0.10
5	20	-0.17
5	21	-0.01
5	22	-0.15
5	23	-0.05
5	24	0.05
5	25	0.07
5	26	0.06
5	27	0.10
5	28	0.21
5	29	0.16
5	30	0.10
